Model,MSE,RMSE,MAE,R2
Linear Regression,0.5558915986952444,0.7455813830127764,0.5332001304956565,0.5757877060324508
Ridge,0.555854858943597,0.7455567442814779,0.5331931195789734,0.5758157428913684
Lasso,0.5544913600832686,0.7446417662764214,0.5331447750392391,0.5768562568705682
