param_model__alpha,mean_test_score,rank_test_score
107.22672220103232,-0.5206445587662145,19
1.629750834620645,-0.519266139786988,13
17.47528400007683,-0.519313658366996,14
0.5336699231206312,-0.5192654244826619,12
0.4641588833612782,-0.5192653907465068,11
0.23101297000831603,-0.5192652877486182,10
0.021544346900318846,-0.5192652085693328,6
70.54802310718645,-0.5199121848012278,18
0.004037017258596553,-0.5192652025246598,3
0.001,-0.5192652014850863,1
0.012328467394420659,-0.519265205376384,5
0.06579332246575682,-0.5192652242412199,7
26.560877829466893,-0.519370613734006,15
0.1,-0.5192652367434867,9
284.8035868435805,-0.5263912449361708,20
0.001747528400007683,-0.5192652017407189,2
40.37017258596558,-0.5194954220951211,16
46.41588833612782,-0.5195637342925842,17
0.005336699231206312,-0.5192652029703554,4
0.07564633275546291,-0.5192652278078075,8
