alpha,Training_MSE,Validation_MSE
0.001,0.5177960982496813,0.5192652014850863
0.01,0.5177960982640886,0.5192652045735378
0.1,0.5177960997045414,0.5192652367434867
1.0,0.5177962434752742,0.5192656867152614
10.0,0.5178103506374215,0.5192827473015386
100.0,0.5189909383881812,0.5204829505852251
