param_model__alpha,mean_test_score,rank_test_score
0.01,-0.5192652045735378,1
0.1,-0.5192652367434867,2
1.0,-0.5192656867152614,3
10.0,-0.5192827473015386,4
100.0,-0.5204829505852251,5
