param_model__alpha,mean_test_score,rank_test_score
1.5556761439304723,-1.3369296823892636,18
0.04750810162102798,-0.599024628102723,13
0.34304692863149194,-0.8169645451953359,14
0.01873817422860383,-0.5377922356855531,12
0.016681005372000592,-0.5338587098634718,11
0.0093260334688322,-0.5236145060137958,10
0.001291549665014884,-0.519282512573499,6
1.0974987654930568,-1.3369296823892636,18
0.00031992671377973844,-0.5192513917114814,2
0.0001,-0.5192596629346556,5
0.0008111308307896872,-0.5192527944634564,3
0.0032745491628777285,-0.5196784915132519,7
0.4862601580065353,-0.9357579316048821,15
0.004641588833612782,-0.5202069144817345,9
3.5111917342151275,-1.3369296823892636,18
0.00015922827933410923,-0.5192568909547044,4
0.6892612104349695,-1.174452093542762,16
0.774263682681127,-1.2988902920418721,17
0.0004037017258596554,-0.5192496579228563,1
0.0036783797718286343,-0.5198128577148993,8
