Model,MSE,RMSE,MAE,R2
Linear Regression,0.5558915986952442,0.7455813830127763,0.5332001304956555,0.575787706032451
Ridge GridSearchCV,0.5558912301037882,0.7455811358288166,0.5332000589081537,0.5757879873121599
Lasso GridSearchCV,0.5557450993865141,0.7454831315237884,0.5331922572683856,0.5758995026632454
Ridge RandomizedSearchCV,0.5558915618350113,0.7455813582936548,0.53320012333683,0.5757877341612515
Lasso RandomizedSearchCV,0.5553091407965766,0.745190674120776,0.5331721133419729,0.5762321916154554
