param_model__alpha,mean_test_score,rank_test_score
0.0001,-0.5192596629346556,1
0.001,-0.5192614509760378,2
0.01,-0.5243047215509027,3
0.1,-0.6720918682458477,4
1.0,-1.3369296823892636,5
