Subdistt,Town/Village,Ward,EB,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Level
0,0,0,0,8089987,34970562,17586203,17384359,4525870,2325832,2200038,6218642,3127719,3090923,8994967,4428522,4566445,21377915,12154552,9223363,13592647,5431651,8160996,15103714,9941574,5162140,8623947,7045991,1577956,3219409,2869857,349552,2355909,1697973,657936,345719,238211,107508,2702910,2239950,462960,6479767,2895583,3584184,810942,442804,368138,4263034,1706770,2556264,313572,109696,203876,1092219,636313,455906,5294257,2426755,2867502,655568,372777,282791,3531011,1444381,2086630,243733,87888,155845,863945,521709,342236,1185510,468828,716682,155374,70027,85347,732023,262389,469634,69839,21808,48031,228274,114604,113670,19866848,7644629,12222219,1
0,0,0,0,6788201,28219075,14198905,14020170,2990780,1545662,1445118,3031745,1495573,1536172,685944,348470,337474,20205695,10855643,9350052,8013380,3343262,4670118,10370599,7687406,2683193,8894410,6874164,2020246,185476,145003,40473,663060,385556,277504,422700,237308,185392,7623174,6106297,1516877,1476189,813242,662947,38158,19525,18633,202077,87600,114477,102881,39359,63522,1133073,666758,466315,1301921,715357,586564,36944,18778,18166,173804,75786,98018,82695,30656,52039,1008478,590137,418341,174268,97885,76383,1214,747,467,28273,11814,16459,20186,8703,11483,124595,76621,47974,17848476,6511499,11336977,1
0,0,0,0,13813165,62183113,31844945,30338168,7820710,3992655,3828055,17095107,8764294,8330813,4855115,2428057,2427058,39213779,21848197,17365582,22969334,9996748,12972586,24082481,18211180,5871301,16489485,14019915,2469570,4081481,3830056,251425,5640355,4744931,895424,875091,470280,404811,5892558,4974648,917910,7592996,4191265,3401731,871062,538226,332836,4203461,2427668,1775793,731437,176962,554475,1787036,1048409,738627,5825830,3317706,2508124,661134,421969,239165,3209279,1916691,1292588,544103,135360,408743,1411314,843686,567628,1767166,873559,893607,209928,116257,93671,994182,510977,483205,187334,41602,145732,375722,204723,170999,38100632,13633765,24466867,1
0,0,0,0,3043756,16509359,8774006,7735353,2285112,1245090,1040022,3720109,1973294,1746815,0,0,0,10158442,6140099,4018343,6350917,2633907,3717010,6003112,4392214,1610898,4435805,3672588,763217,1893233,1571194,322039,808001,647625,160376,89013,64257,24756,1645558,1389512,256046,1567307,719626,847681,505364,150038,355326,597955,296275,301680,44980,17943,27037,419008,255370,163638,1229441,579576,649865,374539,106772,267767,472444,245743,226701,35300,14195,21105,347158,212866,134292,337866,140050,197816,130825,43266,87559,125511,50532,74979,9680,3748,5932,71850,42504,29346,10506247,4381792,6124455,1
0,0,0,0,15093256,72626809,37612306,35014503,10809395,5636172,5173223,11342320,5908638,5433682,15316784,7719404,7597380,42851169,25174328,17676841,29775640,12437978,17337662,31574133,20146970,11427163,22702119,16362065,6340054,8214993,6038749,2176244,6630821,4027711,2603110,647565,396320,251245,7208740,5899285,1309455,8872014,3784905,5087109,1629446,552315,1077131,5561446,2282946,3278500,311694,114728,196966,1369428,834916,534512,7309526,3146582,4162944,1292775,425808,866967,4670315,1945081,2725234,243053,89797,153256,1103383,685896,417487,1562488,638323,924165,336671,126507,210164,891131,337865,553266,68641,24931,43710,266045,149020,117025,41052676,17465336,23587340,1
0,0,0,0,13357027,61095297,30966657,30128640,7161033,3675291,3485742,10474992,5264545,5210447,4248987,2134754,2114233,40647322,22508471,18138851,20447975,8458186,11989789,27872597,18270116,9602481,23397181,16349837,7047344,6038309,4568505,1469804,5119921,2609098,2510823,695841,353513,342328,11543110,8818721,2724389,4475416,1920279,2555137,542340,185203,357137,2036042,674181,1361861,217386,85470,131916,1679648,975425,704223,3931647,1668094,2263553,474719,159098,315621,1872930,615496,1257434,173605,67193,106412,1410393,826307,584086,543769,252185,291584,67621,26105,41516,163112,58685,104427,43781,18277,25504,269255,149118,120137,33222700,12696541,20526159,1
0,0,0,0,396002,1978502,1024649,953853,291071,149785,141286,0,0,0,1710973,866027,844946,1342434,723957,618477,636068,300692,335376,974122,547357,426765,741179,442204,298975,420379,208221,212158,22571,12899,9672,9525,4731,4794,288704,216353,72351,232943,105153,127790,117323,51233,66090,40391,18958,21433,13313,4752,8561,61916,30210,31706,141978,61126,80852,65525,26077,39448,22788,10209,12579,8339,2750,5589,45326,22090,23236,90965,44027,46938,51798,25156,26642,17603,8749,8854,4974,2002,2972,16590,8120,8470,1004380,477292,527088,1
0,0,0,0,12248428,60439692,31491260,28948432,7777262,4115384,3661878,4074447,2110331,1964116,8917174,4501389,4415785,41093358,23474873,17618485,19346334,8016387,11329947,24767747,18000914,6766833,20365374,16567695,3797679,4746956,4075047,671909,4491751,3008961,1482790,252213,182101,70112,10874454,9301586,1572868,4402373,1433219,2969154,700544,169402,531142,2347664,640630,1707034,91786,28460,63326,1262379,594727,667652,3930530,1249781,2680749,615442,142388,473054,2111998,561858,1550140,77737,23957,53780,1125353,521578,603775,471843,183438,288405,85102,27014,58088,235666,78772,156894,14049,4503,9546,137026,73149,63877,35671945,13490346,22181599,1
0,0,0,0,616582,2712464,1387173,1325291,365309,186400,178909,437993,224498,213495,1117566,563908,553658,1992773,1081503,911270,719691,305670,414021,1116076,767767,348309,776583,637023,139560,237861,201981,35880,191928,148647,43281,14424,9389,5035,332370,277006,55364,339493,130744,208749,47868,17970,29898,146994,54711,92283,18871,3748,15123,125760,54315,71445,258529,104727,153802,39459,14917,24542,121257,45946,75311,13835,2723,11112,83978,41141,42837,80964,26017,54947,8409,3053,5356,25737,8765,16972,5036,1025,4011,41782,13174,28608,1596388,619406,976982,1
0,0,0,0,385520,2021640,1026884,994756,273946,142443,131503,47849,24275,23574,1055808,533856,521952,1282859,710134,572725,738781,316750,422031,959161,534085,425076,713482,442482,271000,428481,252929,175552,36208,19135,17073,28407,8467,19940,220386,161951,58435,245679,91603,154076,95056,40279,54777,54436,16662,37774,29111,4228,24883,67076,30434,36642,192573,71800,120773,72480,30420,42060,40949,12224,28725,22510,3184,19326,56634,25972,30662,53106,19803,33303,22576,9859,12717,13487,4438,9049,6601,1044,5557,10442,4462,5980,1062479,492799,569680,1
