Model,Accuracy,Precision,Recall,F1-Score
SVM,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
KNN,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
