Model,MSE,RMSE,MAE,R2
Original Linear Regression,0.5558915986952442,0.7455813830127763,0.5332001304956555,0.575787706032451
Joblib Restored Model,0.5558915986952442,0.7455813830127763,0.5332001304956555,0.575787706032451
Pickle Restored Model,0.5558915986952442,0.7455813830127763,0.5332001304956555,0.575787706032451
