Model,Accuracy,Precision,Recall,F1-Score
SVM - GridSearch,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
SVM - RandomSearch,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
KNN - GridSearch,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
KNN - RandomSearch,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
